"date","home_team","away_team","team","scorer","minute","own_goal","penalty"
"1995-10-11","Georgia","Bulgaria","Georgia","Georgi Kinkladze",47,false,true
"1995-10-11","Georgia","Bulgaria","Bulgaria","Hristo Stoichkov",87,false,false
"1995-10-11","Liechtenstein","Northern Ireland","Northern Ireland","Michael O'Neill",36,false,false
"1995-10-11","Liechtenstein","Northern Ireland","Northern Ireland","Gerry McMahon",49,false,false
"1995-10-11","Liechtenstein","Northern Ireland","Northern Ireland","Jimmy Quinn",55,false,false
"1995-10-11","Liechtenstein","Northern Ireland","Northern Ireland","Phil Gray",72,false,false
"1995-10-11","Lithuania","Estonia","Lithuania","Darius Maciulevičius",8,false,false
"1995-10-11","Lithuania","Estonia","Lithuania","Arūnas Šuika",13,false,false
"1995-10-11","Lithuania","Estonia","Lithuania","Arūnas Šuika",39,false,false
"1995-10-11","Lithuania","Estonia","Lithuania","Vaidotas Šlekys",44,false,false
"1995-10-11","Lithuania","Estonia","Lithuania","Valdas Ivanauskas",61,false,false
"1995-10-11","Malta","Netherlands","Netherlands","Marc Overmars",52,false,false
"1995-10-11","Malta","Netherlands","Netherlands","Marc Overmars",61,false,false
"1995-10-11","Malta","Netherlands","Netherlands","Marc Overmars",66,false,false
"1995-10-11","Malta","Netherlands","Netherlands","Clarence Seedorf",82,false,false
"1995-10-11","Republic of Ireland","Latvia","Republic of Ireland","John Aldridge",61,false,true
"1995-10-11","Republic of Ireland","Latvia","Republic of Ireland","John Aldridge",64,false,false
"1995-10-11","Republic of Ireland","Latvia","Latvia","Vīts Rimkus",78,false,false
"1995-10-11","Romania","France","France","Christian Karembeu",29,false,false
"1995-10-11","Romania","France","France","Youri Djorkaeff",41,false,false
"1995-10-11","Romania","France","Romania","Marius Lăcătuș",51,false,false
"1995-10-11","Romania","France","France","Zinedine Zidane",72,false,false
"1995-10-11","San Marino","Faroe Islands","Faroe Islands","Todi Jónsson",42,false,false
"1995-10-11","San Marino","Faroe Islands","Faroe Islands","Todi Jónsson",45,false,false
"1995-10-11","San Marino","Faroe Islands","Faroe Islands","Todi Jónsson",50,false,false
"1995-10-11","San Marino","Faroe Islands","San Marino","Mauro Valentini",52,false,false
"1995-10-11","Slovakia","Poland","Poland","Andrzej Juskowiak",20,false,false
"1995-10-11","Slovakia","Poland","Slovakia","Peter Dubovský",31,false,true
"1995-10-11","Slovakia","Poland","Slovakia","Tibor Jančula",68,false,false
"1995-10-11","Slovakia","Poland","Slovakia","Marek Ujlaky",77,false,false
"1995-10-11","Slovakia","Poland","Slovakia","Július Šimon",82,false,false
"1995-10-11","Slovenia","Ukraine","Ukraine","Viktor Skrypnyk",24,false,false
"1995-10-11","Slovenia","Ukraine","Ukraine","Tymerlan Huseynov",44,false,false
"1995-10-11","Slovenia","Ukraine","Slovenia","Sašo Udovič",50,false,false
"1995-10-11","Slovenia","Ukraine","Slovenia","Zlatko Zahovič",73,false,false
"1995-10-11","Slovenia","Ukraine","Slovenia","Sašo Udovič",90,false,false
"1995-10-11","Switzerland","Hungary","Switzerland","Kubilay Türkyilmaz",22,false,false
"1995-10-11","Switzerland","Hungary","Switzerland","Ciriaco Sforza",56,false,false
"1995-10-11","Switzerland","Hungary","Switzerland","Christophe Ohrel",90,false,false
"1995-11-11","Hungary","Iceland","Hungary","Béla Illés",56,false,false
"1995-11-11","Italy","Ukraine","Ukraine","Andriy Polunin",18,false,false
"1995-11-11","Italy","Ukraine","Italy","Fabrizio Ravanelli",21,false,false
"1995-11-11","Italy","Ukraine","Italy","Fabrizio Ravanelli",49,false,false
"1995-11-11","Italy","Ukraine","Italy","Paolo Maldini",53,false,false
"1995-11-12","Malta","Belarus","Belarus","Syarhey Herasimets",79,false,false
"1995-11-12","Malta","Belarus","Belarus","Syarhey Herasimets",83,false,false
"1995-11-15","Albania","Wales","Albania","Sokol Kushta",5,false,true
"1995-11-15","Albania","Wales","Wales","Mark Pembridge",43,false,false
"1995-11-15","Cyprus","Belgium","Cyprus","Marios Agathokleous",18,false,false
"1995-11-15","Cyprus","Belgium","Belgium","Gilles De Bilde",66,false,false
"1995-11-15","Czech Republic","Luxembourg","Czech Republic","Radek Drulák",37,false,false
"1995-11-15","Czech Republic","Luxembourg","Czech Republic","Radek Drulák",46,false,false
"1995-11-15","Czech Republic","Luxembourg","Czech Republic","Patrik Berger",57,false,false
"1995-11-15","Denmark","Armenia","Denmark","Michael Schjønberg",19,false,false
"1995-11-15","Denmark","Armenia","Denmark","Mikkel Beck",33,false,false
"1995-11-15","Denmark","Armenia","Armenia","Artur Petrosyan",46,false,false
"1995-11-15","Denmark","Armenia","Denmark","Michael Laudrup",58,false,false
"1995-11-15","Greece","Faroe Islands","Greece","Alexis Alexandris",58,false,false
"1995-11-15","Greece","Faroe Islands","Greece","Demis Nikolaidis",62,false,false
"1995-11-15","Greece","Faroe Islands","Greece","Nikos Machlas",66,false,false
"1995-11-15","Greece","Faroe Islands","Greece","Giorgos Donis",75,false,false
"1995-11-15","Greece","Faroe Islands","Greece","Vassilios Tsiartas",80,false,false
"1995-11-15","Italy","Lithuania","Italy","Alessandro Del Piero",52,false,false
"1995-11-15","Italy","Lithuania","Italy","Gianfranco Zola",66,false,false
"1995-11-15","Italy","Lithuania","Italy","Gianfranco Zola",80,false,false
"1995-11-15","Italy","Lithuania","Italy","Gianfranco Zola",83,false,false
"1995-11-15","Moldova","Georgia","Moldova","Ion Testemițanu",5,false,true
"1995-11-15","Moldova","Georgia","Moldova","Iurie Miterev",17,false,false
"1995-11-15","Moldova","Georgia","Georgia","Davit Janashia",66,false,false
"1995-11-15","Moldova","Georgia","Moldova","Iurie Miterev",68,false,false
"1995-11-15","Moldova","Georgia","Georgia","Vitali Culibaba",77,true,false
"1995-11-15","Netherlands","Norway","Netherlands","Clarence Seedorf",47,false,false
"1995-11-15","Netherlands","Norway","Netherlands","Youri Mulder",88,false,false
"1995-11-15","Netherlands","Norway","Netherlands","Marc Overmars",89,false,false
"1995-11-15","Northern Ireland","Austria","Northern Ireland","Michael O'Neill",27,false,false
"1995-11-15","Northern Ireland","Austria","Northern Ireland","Iain Dowie",32,false,true
"1995-11-15","Northern Ireland","Austria","Northern Ireland","Barry Hunter",53,false,false
"1995-11-15","Northern Ireland","Austria","Austria","Markus Schopp",55,false,false
"1995-11-15","Northern Ireland","Austria","Northern Ireland","Phil Gray",63,false,false
"1995-11-15","Northern Ireland","Austria","Austria","Christian Stumpf",70,false,false
"1995-11-15","Northern Ireland","Austria","Northern Ireland","Michael O'Neill",78,false,false
"1995-11-15","Northern Ireland","Austria","Austria","Arnold Wetl",81,false,false
"1995-11-15","Portugal","Republic of Ireland","Portugal","Rui Costa",60,false,false
"1995-11-15","Portugal","Republic of Ireland","Portugal","Hélder",74,false,false
"1995-11-15","Portugal","Republic of Ireland","Portugal","Jorge Cadete",89,false,false
"1995-11-15","Scotland","San Marino","Scotland","Eoin Jess",30,false,false
"1995-11-15","Scotland","San Marino","Scotland","Scott Booth",45,false,false
"1995-11-15","Scotland","San Marino","Scotland","Ally McCoist",49,false,false
"1995-11-15","Scotland","San Marino","Scotland","Pat Nevin",79,false,false
"1995-11-15","Scotland","San Marino","Scotland","Fabio Francini",90,true,false
"1995-11-15","Slovakia","Romania","Romania","Gheorghe Hagi",66,false,false
"1995-11-15","Slovakia","Romania","Romania","Dorinel Munteanu",82,false,false
"1995-11-15","Slovenia","Croatia","Slovenia","Primož Gliha",36,false,false
"1995-11-15","Slovenia","Croatia","Croatia","Davor Šuker",40,false,true
"1995-11-15","Slovenia","Croatia","Croatia","Nikola Jurčević",55,false,false
"1995-11-15","Spain","North Macedonia","Spain","Kiko",8,false,false
"1995-11-15","Spain","North Macedonia","Spain","Javier Manjarín",73,false,false
"1995-11-15","Spain","North Macedonia","Spain","José Luis Caminero",78,false,false
"1995-11-15","Sweden","Turkey","Sweden","Niclas Alexandersson",24,false,false
"1995-11-15","Sweden","Turkey","Sweden","Jörgen Pettersson",53,false,false
"1995-11-15","Sweden","Turkey","Turkey","Hakan Şükür",62,false,false
"1995-11-15","Sweden","Turkey","Turkey","Emre Aşık",72,false,false
"1995-12-13","Republic of Ireland","Netherlands","Netherlands","Patrick Kluivert",30,false,false
"1995-12-13","Republic of Ireland","Netherlands","Netherlands","Patrick Kluivert",89,false,false
"1996-04-24","Greece","Slovenia","Greece","Daniel Batista Lima",55,false,false
"1996-04-24","Greece","Slovenia","Greece","Demis Nikolaidis",65,false,false
"1996-04-24","North Macedonia","Liechtenstein","North Macedonia","Sašo Miloševski",6,false,false
"1996-04-24","North Macedonia","Liechtenstein","North Macedonia","Boban Babunski",49,false,true
"1996-04-24","North Macedonia","Liechtenstein","North Macedonia","Srgjan Zaharievski",78,false,false
"1996-04-24","Serbia","Faroe Islands","Serbia","Dejan Savićević",3,false,false
"1996-04-24","Serbia","Faroe Islands","Serbia","Dejan Savićević",29,false,false
"1996-04-24","Serbia","Faroe Islands","Serbia","Savo Milošević",37,false,false
"1996-04-24","Serbia","Faroe Islands","Faroe Islands","John Petersen",53,false,false
"1996-06-01","Iceland","North Macedonia","North Macedonia","Nedžmedin Memedi",60,false,false
"1996-06-01","Iceland","North Macedonia","Iceland","Arnór Guðjohnsen",63,false,false
"1996-06-01","Sweden","Belarus","Sweden","Kennet Andersson",20,false,false
"1996-06-01","Sweden","Belarus","Sweden","Martin Dahlin",30,false,false
"1996-06-01","Sweden","Belarus","Sweden","Kennet Andersson",62,false,true
"1996-06-01","Sweden","Belarus","Belarus","Valyantsin Byalkevich",75,false,false
"1996-06-01","Sweden","Belarus","Sweden","Patrik Andersson",77,false,false
"1996-06-01","Sweden","Belarus","Sweden","Henrik Larsson",87,false,false
"1996-06-02","Norway","Azerbaijan","Norway","Ståle Solbakken",7,false,false
"1996-06-02","Norway","Azerbaijan","Norway","Ole Gunnar Solskjær",37,false,false
"1996-06-02","Norway","Azerbaijan","Norway","Ståle Solbakken",46,false,false
"1996-06-02","Norway","Azerbaijan","Norway","Frank Strandli",59,false,false
"1996-06-02","Norway","Azerbaijan","Norway","Ole Gunnar Solskjær",89,false,false
"1996-06-02","San Marino","Wales","Wales","Andy Melville",20,false,false
"1996-06-02","San Marino","Wales","Wales","Mark Hughes",32,false,false
"1996-06-02","San Marino","Wales","Wales","Mark Hughes",43,false,false
"1996-06-02","San Marino","Wales","Wales","Ryan Giggs",50,false,false
"1996-06-02","San Marino","Wales","Wales","Mark Pembridge",85,false,false
"1996-06-02","Serbia","Malta","Serbia","Zoran Mirković",2,false,false
"1996-06-02","Serbia","Malta","Serbia","Predrag Mijatović",39,false,false
"1996-06-02","Serbia","Malta","Serbia","Dragan Stojković",45,false,false
"1996-06-02","Serbia","Malta","Serbia","Savo Milošević",68,false,false
"1996-06-02","Serbia","Malta","Serbia","Dejan Savićević",70,false,true
"1996-06-02","Serbia","Malta","Serbia","Dejan Savićević",73,false,false
"1996-06-08","England","Switzerland","England","Alan Shearer",23,false,false
"1996-06-08","England","Switzerland","Switzerland","Kubilay Türkyilmaz",83,false,true
"1996-06-09","Denmark","Portugal","Denmark","Brian Laudrup",22,false,false
"1996-06-09","Denmark","Portugal","Portugal","Ricardo Sá Pinto",53,false,false
"1996-06-09","Spain","Bulgaria","Bulgaria","Hristo Stoichkov",65,false,true
"1996-06-09","Spain","Bulgaria","Spain","Alfonso Pérez",74,false,false
"1996-06-10","Romania","France","France","Christophe Dugarry",25,false,false
"1996-06-11","Turkey","Croatia","Croatia","Goran Vlaović",86,false,false
"1996-06-13","Bulgaria","Romania","Bulgaria","Hristo Stoichkov",3,false,false
"1996-06-13","Switzerland","Netherlands","Netherlands","Jordi Cruyff",66,false,false
"1996-06-13","Switzerland","Netherlands","Netherlands","Dennis Bergkamp",79,false,false
"1996-06-14","Czech Republic","Italy","Czech Republic","Pavel Nedvěd",5,false,false
"1996-06-14","Czech Republic","Italy","Italy","Enrico Chiesa",18,false,false
"1996-06-14","Czech Republic","Italy","Czech Republic","Radek Bejbl",35,false,false
"1996-06-14","Portugal","Turkey","Portugal","Fernando Couto",66,false,false
"1996-06-15","England","Scotland","England","Alan Shearer",53,false,false
"1996-06-15","England","Scotland","England","Paul Gascoigne",79,false,false
"1996-06-15","France","Spain","France","Youri Djorkaeff",48,false,false
"1996-06-15","France","Spain","Spain","José Luis Caminero",85,false,false
"1996-06-16","Croatia","Denmark","Croatia","Davor Šuker",54,false,true
"1996-06-16","Croatia","Denmark","Croatia","Zvonimir Boban",81,false,false
"1996-06-16","Croatia","Denmark","Croatia","Davor Šuker",90,false,false
"1996-06-18","England","Netherlands","England","Alan Shearer",23,false,true
"1996-06-18","England","Netherlands","England","Teddy Sheringham",51,false,false
"1996-06-18","England","Netherlands","England","Alan Shearer",57,false,false
"1996-06-18","England","Netherlands","England","Teddy Sheringham",62,false,false
"1996-06-18","England","Netherlands","Netherlands","Patrick Kluivert",78,false,false
"1996-06-18","France","Bulgaria","France","Laurent Blanc",21,false,false
"1996-06-18","France","Bulgaria","France","Lyuboslav Penev",63,true,false
"1996-06-18","France","Bulgaria","Bulgaria","Hristo Stoichkov",69,false,false
"1996-06-18","France","Bulgaria","France","Patrice Loko",90,false,false
"1996-06-18","Romania","Spain","Spain","Javier Manjarín",11,false,false
"1996-06-18","Romania","Spain","Romania","Florin Răducioiu",29,false,false
"1996-06-18","Romania","Spain","Spain","Guillermo Amor",84,false,false
"1996-06-18","Scotland","Switzerland","Scotland","Ally McCoist",36,false,false
"1996-06-19","Croatia","Portugal","Portugal","Luís Figo",4,false,false
"1996-06-19","Croatia","Portugal","Portugal","João Vieira Pinto",33,false,false
"1996-06-19","Croatia","Portugal","Portugal","Domingos Paciência",82,false,false
"1996-06-19","Turkey","Denmark","Denmark","Brian Laudrup",50,false,false
"1996-06-19","Turkey","Denmark","Denmark","Allan Nielsen",69,false,false
"1996-06-19","Turkey","Denmark","Denmark","Brian Laudrup",84,false,false
"1996-06-23","Czech Republic","Portugal","Czech Republic","Karel Poborský",53,false,false
"1996-08-31","Azerbaijan","Switzerland","Azerbaijan","Vidadi Rzayev",28,false,false
"1996-08-31","Belarus","Estonia","Belarus","Uladzimir Makowski",35,false,false
"1996-08-31","Belgium","Turkey","Belgium","Marc Degryse",11,false,false
"1996-08-31","Belgium","Turkey","Belgium","Luís Oliveira",37,false,false
"1996-08-31","Belgium","Turkey","Turkey","Sergen Yalçın",56,false,false
"1996-08-31","Faroe Islands","Slovakia","Slovakia","Ľubomír Moravčík",13,false,false
"1996-08-31","Faroe Islands","Slovakia","Faroe Islands","Jan Allan Müller",60,false,false
"1996-08-31","Faroe Islands","Slovakia","Slovakia","Peter Dubovský",88,false,false
"1996-08-31","Liechtenstein","Republic of Ireland","Republic of Ireland","Andy Townsend",5,false,false
"1996-08-31","Liechtenstein","Republic of Ireland","Republic of Ireland","Keith O'Neill",9,false,false
"1996-08-31","Liechtenstein","Republic of Ireland","Republic of Ireland","Niall Quinn",12,false,false
"1996-08-31","Liechtenstein","Republic of Ireland","Republic of Ireland","Ian Harte",20,false,false
"1996-08-31","Liechtenstein","Republic of Ireland","Republic of Ireland","Niall Quinn",61,false,false
"1996-08-31","Northern Ireland","Ukraine","Ukraine","Serhii Rebrov",79,false,false
"1996-08-31","Romania","Lithuania","Romania","Viorel Moldovan",20,false,false
"1996-08-31","Romania","Lithuania","Romania","Dan Petrescu",65,false,false
"1996-08-31","Romania","Lithuania","Romania","Constantin Gâlcă",77,false,false
"1996-08-31","Wales","San Marino","Wales","Dean Saunders",1,false,false
"1996-08-31","Wales","San Marino","Wales","Mark Hughes",25,false,false
"1996-08-31","Wales","San Marino","Wales","Andy Melville",34,false,false
"1996-08-31","Wales","San Marino","Wales","John Robinson",45,false,false
"1996-08-31","Wales","San Marino","Wales","Mark Hughes",54,false,false
"1996-08-31","Wales","San Marino","Wales","Dean Saunders",74,false,false
"1996-09-01","Greece","Bosnia and Herzegovina","Greece","Marinos Ouzounidis",41,false,false
"1996-09-01","Greece","Bosnia and Herzegovina","Greece","Stratos Apostolakis",79,false,false
"1996-09-01","Greece","Bosnia and Herzegovina","Greece","Demis Nikolaidis",84,false,false
"1996-09-01","Hungary","Finland","Hungary","Ferenc Orosz",15,false,false
"1996-09-01","Latvia","Sweden","Sweden","Martin Dahlin",16,false,false
"1996-09-01","Latvia","Sweden","Sweden","Kennet Andersson",21,false,false
"1996-09-01","Latvia","Sweden","Latvia","Vīts Rimkus",56,false,false
"1996-09-01","Moldova","England","England","Nicky Barmby",24,false,false
"1996-09-01","Moldova","England","England","Paul Gascoigne",26,false,false
"1996-09-01","Moldova","England","England","Alan Shearer",61,false,false
"1996-09-01","Slovenia","Denmark","Denmark","Allan Nielsen",78,false,false
"1996-09-01","Slovenia","Denmark","Denmark","Michael Schjønberg",89,false,false
"1996-09-04","Faroe Islands","Spain","Spain","Luis Enrique",37,false,false
"1996-09-04","Faroe Islands","Spain","Faroe Islands","Todi Jónsson",46,false,false
"1996-09-04","Faroe Islands","Spain","Spain","Alfonso Pérez",63,false,false
"1996-09-04","Faroe Islands","Spain","Spain","Óli Johannesen",70,true,false
"1996-09-04","Faroe Islands","Spain","Spain","Alfonso Pérez",83,false,false
"1996-09-04","Faroe Islands","Spain","Spain","Fernando Hierro",85,false,false
"1996-09-04","Faroe Islands","Spain","Spain","Alfonso Pérez",86,false,false
"1996-09-04","Faroe Islands","Spain","Faroe Islands","Uni Arge",90,false,false
"1996-09-18","Czech Republic","Malta","Czech Republic","Patrik Berger",11,false,false
"1996-09-18","Czech Republic","Malta","Czech Republic","Pavel Nedvěd",29,false,false
"1996-09-18","Czech Republic","Malta","Czech Republic","Patrik Berger",63,false,true
"1996-09-18","Czech Republic","Malta","Czech Republic","Luboš Kubík",77,false,false
"1996-09-18","Czech Republic","Malta","Czech Republic","Vladimír Šmicer",83,false,false
"1996-09-18","Czech Republic","Malta","Czech Republic","Martin Frýdek",86,false,false
"1996-09-22","Slovakia","Malta","Slovakia","Dušan Tittel",13,false,false
"1996-09-22","Slovakia","Malta","Slovakia","Július Šimon",15,false,false
"1996-09-22","Slovakia","Malta","Slovakia","Marian Zeman",37,false,false
"1996-09-22","Slovakia","Malta","Slovakia","Jaroslav Timko",56,false,false
"1996-09-22","Slovakia","Malta","Slovakia","Peter Dubovský",59,false,false
"1996-09-22","Slovakia","Malta","Slovakia","Dušan Tittel",90,false,false
"1996-10-05","Estonia","Belarus","Estonia","Sergei Hohlov-Simson",52,false,false
"1996-10-05","Latvia","Scotland","Scotland","John Collins",18,false,false
"1996-10-05","Latvia","Scotland","Scotland","Darren Jackson",80,false,false
"1996-10-05","Lithuania","Iceland","Lithuania","Edgaras Jankauskas",22,false,true
"1996-10-05","Lithuania","Iceland","Lithuania","Vaidotas Šlekys",74,false,false
"1996-10-05","Moldova","Italy","Italy","Fabrizio Ravanelli",8,false,false
"1996-10-05","Moldova","Italy","Moldova","Alexandru Curtianu",12,false,false
"1996-10-05","Moldova","Italy","Italy","Pierluigi Casiraghi",67,false,false
"1996-10-05","Moldova","Italy","Italy","Fabrizio Ravanelli",87,false,false
"1996-10-05","Northern Ireland","Armenia","Armenia","Éric Assadourian",8,false,false
"1996-10-05","Northern Ireland","Armenia","Northern Ireland","Neil Lennon",29,false,false
"1996-10-05","Ukraine","Portugal","Ukraine","Serhiy Popov",4,false,false
"1996-10-05","Ukraine","Portugal","Portugal","João Vieira Pinto",83,false,false
"1996-10-05","Ukraine","Portugal","Ukraine","Yuriy Maksymov",88,false,false
"1996-10-05","Wales","Netherlands","Wales","Dean Saunders",17,false,false
"1996-10-05","Wales","Netherlands","Netherlands","Pierre van Hooijdonk",72,false,false
"1996-10-05","Wales","Netherlands","Netherlands","Pierre van Hooijdonk",75,false,false
"1996-10-05","Wales","Netherlands","Netherlands","Ronald de Boer",79,false,false
"1996-10-06","Faroe Islands","Serbia","Serbia","Savo Milošević",6,false,false
"1996-10-06","Faroe Islands","Serbia","Serbia","Slaviša Jokanović",11,false,false
"1996-10-06","Faroe Islands","Serbia","Faroe Islands","Jan Allan Müller",28,false,false
"1996-10-06","Faroe Islands","Serbia","Serbia","Predrag Mijatović",29,false,false
"1996-10-06","Faroe Islands","Serbia","Serbia","Savo Milošević",37,false,false
"1996-10-06","Faroe Islands","Serbia","Serbia","Savo Milošević",45,false,false
"1996-10-06","Faroe Islands","Serbia","Serbia","Slaviša Jokanović",57,false,false
"1996-10-06","Faroe Islands","Serbia","Serbia","Vladimir Jugović",57,false,false
"1996-10-06","Faroe Islands","Serbia","Serbia","Dragan Stojković",90,false,true
"1996-10-06","Finland","Switzerland","Switzerland","Massimo Lombardo",14,false,false
"1996-10-06","Finland","Switzerland","Switzerland","Ciriaco Sforza",34,false,false
"1996-10-06","Finland","Switzerland","Finland","Antti Sumiala",41,false,true
"1996-10-06","Finland","Switzerland","Switzerland","Murat Yakin",54,false,false
"1996-10-06","Finland","Switzerland","Finland","Joonas Kolkka",77,false,false
"1996-10-08","Bosnia and Herzegovina","Croatia","Croatia","Slaven Bilić",13,false,false
"1996-10-08","Bosnia and Herzegovina","Croatia","Bosnia and Herzegovina","Hasan Salihamidžić",25,false,false
"1996-10-08","Bosnia and Herzegovina","Croatia","Croatia","Goran Vlaović",32,false,false
"1996-10-08","Bosnia and Herzegovina","Croatia","Croatia","Alen Bokšić",64,false,false
"1996-10-08","Bosnia and Herzegovina","Croatia","Croatia","Alen Bokšić",85,false,false
"1996-10-08","Luxembourg","Bulgaria","Bulgaria","Krasimir Balakov",14,false,true
"1996-10-08","Luxembourg","Bulgaria","Luxembourg","Robby Langers",20,false,false
"1996-10-08","Luxembourg","Bulgaria","Bulgaria","Emil Kostadinov",37,false,false
"1996-10-09","Albania","Portugal","Portugal","Luís Figo",10,false,false
"1996-10-09","Albania","Portugal","Portugal","Hélder Cristóvão",75,false,false
"1996-10-09","Albania","Portugal","Portugal","Rui Costa",88,false,false
"1996-10-09","Belarus","Latvia","Latvia","Mihails Zemļinskis",16,false,false
"1996-10-09","Belarus","Latvia","Belarus","Uladzimir Makowski",78,false,false
"1996-10-09","Denmark","Greece","Denmark","Theodoros Zagorakis",25,true,false
"1996-10-09","Denmark","Greece","Greece","Giorgos Donis",35,false,false
"1996-10-09","Denmark","Greece","Denmark","Brian Laudrup",52,false,false
"1996-10-09","England","Poland","Poland","Marek Citko",7,false,false
"1996-10-09","England","Poland","England","Alan Shearer",25,false,false
"1996-10-09","England","Poland","England","Alan Shearer",38,false,false
"1996-10-09","Iceland","Romania","Romania","Dorinel Munteanu",21,false,false
"1996-10-09","Iceland","Romania","Romania","Gheorghe Hagi",60,false,false
"1996-10-09","Iceland","Romania","Romania","Gheorghe Popescu",75,false,false
"1996-10-09","Iceland","Romania","Romania","Dan Petrescu",81,false,false
"1996-10-09","Italy","Georgia","Italy","Fabrizio Ravanelli",43,false,false
"1996-10-09","Lithuania","Liechtenstein","Lithuania","Edgaras Jankauskas",43,false,false
"1996-10-09","Lithuania","Liechtenstein","Liechtenstein","Harry Zech",53,false,false
"1996-10-09","Lithuania","Liechtenstein","Lithuania","Arminas Narbekovas",55,false,false
"1996-10-09","Norway","Hungary","Norway","Kjetil Rekdal",83,false,false
"1996-10-09","Norway","Hungary","Norway","Kjetil Rekdal",89,false,false
"1996-10-09","Norway","Hungary","Norway","Kjetil Rekdal",90,false,true
"1996-10-09","Republic of Ireland","North Macedonia","Republic of Ireland","Jason McAteer",8,false,false
"1996-10-09","Republic of Ireland","North Macedonia","Republic of Ireland","Tony Cascarino",46,false,false
"1996-10-09","Republic of Ireland","North Macedonia","Republic of Ireland","Tony Cascarino",70,false,false
"1996-10-09","San Marino","Belgium","Belgium","Gert Verheyen",11,false,false
"1996-10-09","San Marino","Belgium","Belgium","Luc Nilis",20,false,false
"1996-10-09","San Marino","Belgium","Belgium","Luc Nilis",49,false,false
"1996-10-09","Sweden","Austria","Austria","Andreas Herzog",11,false,false
"1996-10-23","Slovakia","Faroe Islands","Slovakia","Peter Dubovský",20,false,false
"1996-10-23","Slovakia","Faroe Islands","Slovakia","Tibor Jančula",44,false,false
"1996-10-23","Slovakia","Faroe Islands","Slovakia","Július Šimon",57,false,true
"1996-11-09","Albania","Armenia","Albania","Bajram Franholli",57,false,false
"1996-11-09","Albania","Armenia","Armenia","Hakob Ter-Petrosyan",90,false,false
"1996-11-09","Austria","Latvia","Austria","Toni Polster",43,false,false
"1996-11-09","Austria","Latvia","Latvia","Vīts Rimkus",44,false,false
"1996-11-09","Austria","Latvia","Austria","Andreas Herzog",73,false,false
"1996-11-09","Georgia","England","England","Teddy Sheringham",15,false,false
"1996-11-09","Georgia","England","England","Les Ferdinand",37,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Dejvi Glavevski",8,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Dejvi Glavevski",12,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Gjorgji Hristov",23,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Mitko Stojkovski",30,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Mitko Stojkovski",43,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Toni Micevski",45,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Toni Micevski",49,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Saša Ćirić",53,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Dejvi Glavevski",60,false,false
"1996-11-09","Liechtenstein","North Macedonia","Liechtenstein","Franz Schädler",78,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Saša Ćirić",87,false,false
"1996-11-09","Liechtenstein","North Macedonia","North Macedonia","Vančo Micevski",90,false,false
"1996-11-09","Netherlands","Wales","Netherlands","Dennis Bergkamp",21,false,false
"1996-11-09","Netherlands","Wales","Netherlands","Ronald de Boer",32,false,false
"1996-11-09","Netherlands","Wales","Netherlands","Wim Jonk",33,false,false
"1996-11-09","Netherlands","Wales","Wales","Dean Saunders",38,false,false
"1996-11-09","Netherlands","Wales","Netherlands","Frank de Boer",43,false,false
"1996-11-09","Netherlands","Wales","Netherlands","Phillip Cocu",60,false,false
"1996-11-09","Netherlands","Wales","Netherlands","Dennis Bergkamp",72,false,false
"1996-11-09","Netherlands","Wales","Netherlands","Dennis Bergkamp",78,false,false
"1996-11-09","Portugal","Ukraine","Portugal","Fernando Couto",58,false,false
"1996-11-10","Azerbaijan","Hungary","Hungary","Elek Nyilas",42,false,false
"1996-11-10","Azerbaijan","Hungary","Hungary","Elek Nyilas",67,false,true
"1996-11-10","Azerbaijan","Hungary","Hungary","Flórián Urbán",77,false,false
"1996-11-10","Croatia","Greece","Greece","Demis Nikolaidis",9,false,false
"1996-11-10","Croatia","Greece","Croatia","Davor Šuker",44,false,false
"1996-11-10","Poland","Moldova","Poland","Henryk Bałuszyński",4,false,false
"1996-11-10","Poland","Moldova","Poland","Krzysztof Warzycha",77,false,true
"1996-11-10","Poland","Moldova","Moldova","Serghei Cleșcenco",83,false,true
"1996-11-10","Scotland","Sweden","Scotland","John McGinlay",7,false,false
"1996-11-10","Serbia","Czech Republic","Serbia","Predrag Mijatović",18,false,false
"1996-11-10","Slovenia","Bosnia and Herzegovina","Bosnia and Herzegovina","Elvir Bolić",5,false,false
"1996-11-10","Slovenia","Bosnia and Herzegovina","Bosnia and Herzegovina","Meho Kodro",33,false,false
"1996-11-10","Slovenia","Bosnia and Herzegovina","Slovenia","Zlatko Zahovič",41,false,true
"1996-11-10","Switzerland","Norway","Norway","Øyvind Leonhardsen",32,false,false
"1996-11-10","Turkey","San Marino","Turkey","Oktay Derelioğlu",25,false,false
