"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","winning_team","draw"
"1971-04-07","Greece","Bulgaria",0,1,"Friendly","Piraeus","Greece",false,"Bulgaria",0
"1971-04-21","England","Greece",3,0,"UEFA Euro qualification","London","England",false,"England",0
"1971-04-21","Northern Ireland","Cyprus",5,0,"UEFA Euro qualification","Belfast","Northern Ireland",false,"Northern Ireland",0
"1971-04-21","Portugal","Scotland",2,0,"UEFA Euro qualification","Lisbon","Portugal",false,"Portugal",0
"1971-04-21","Switzerland","Malta",5,0,"UEFA Euro qualification","Lucerne","Switzerland",false,"Switzerland",0
"1971-04-24","Hungary","France",1,1,"UEFA Euro qualification","Budapest","Hungary",false,"draw",1
"1971-05-05","Switzerland","Poland",2,4,"Friendly","Lausanne","Switzerland",false,"Poland",0
"1971-05-09","Cyprus","Spain",0,2,"UEFA Euro qualification","Nicosia","Cyprus",false,"Spain",0
"1971-05-10","Republic of Ireland","Italy",1,2,"UEFA Euro qualification","Dublin","Republic of Ireland",false,"Italy",0
"1971-05-12","Albania","Poland",1,1,"UEFA Euro qualification","Tirana","Albania",false,"draw",1
"1971-05-12","England","Malta",5,0,"UEFA Euro qualification","London","England",false,"England",0
"1971-05-12","Portugal","Denmark",5,0,"UEFA Euro qualification","Porto","Portugal",false,"Portugal",0
"1971-05-12","Switzerland","Greece",1,0,"UEFA Euro qualification","Berne","Switzerland",false,"Switzerland",0
"1971-05-15","Northern Ireland","England",0,1,"British Home Championship","Belfast","Northern Ireland",false,"England",0
"1971-05-15","Wales","Scotland",0,0,"British Home Championship","Cardiff","Wales",false,"draw",1
"1971-05-18","Scotland","Northern Ireland",0,1,"British Home Championship","Glasgow","Scotland",false,"Northern Ireland",0
"1971-05-19","Bulgaria","Hungary",3,0,"UEFA Euro qualification","Sofia","Bulgaria",false,"Bulgaria",0
"1971-05-19","England","Wales",0,0,"British Home Championship","London","England",false,"draw",1
"1971-05-20","Luxembourg","Belgium",0,4,"Friendly","Luxembourg","Luxembourg",false,"Belgium",0
"1971-05-20","Sweden","Finland",4,1,"Nordic Championship","Borås","Sweden",false,"Sweden",0
"1971-05-22","England","Scotland",3,1,"British Home Championship","London","England",false,"England",0
"1971-05-22","Northern Ireland","Wales",1,0,"British Home Championship","Belfast","Northern Ireland",false,"Northern Ireland",0
"1971-05-26","Denmark","Belgium",1,2,"UEFA Euro qualification","Copenhagen","Denmark",false,"Belgium",0
"1971-05-26","Finland","Wales",0,1,"UEFA Euro qualification","Helsinki","Finland",false,"Wales",0
"1971-05-26","Norway","Iceland",3,1,"Friendly","Bergen","Norway",false,"Norway",0
"1971-05-26","Sweden","Austria",1,0,"UEFA Euro qualification","Solna","Sweden",false,"Sweden",0
"1971-05-30","Republic of Ireland","Austria",1,4,"UEFA Euro qualification","Dublin","Republic of Ireland",false,"Austria",0
"1971-06-09","Denmark","Scotland",1,0,"UEFA Euro qualification","Copenhagen","Denmark",false,"Denmark",0
"1971-06-09","Norway","Bulgaria",1,4,"UEFA Euro qualification","Oslo","Norway",false,"Bulgaria",0
"1971-06-09","Sweden","Italy",0,0,"UEFA Euro qualification","Solna","Sweden",false,"draw",1
"1971-06-18","Greece","Malta",2,0,"UEFA Euro qualification","Piraeus","Greece",false,"Greece",0
"1971-06-20","Denmark","Sweden",1,3,"Nordic Championship","Copenhagen","Denmark",false,"Sweden",0
"1971-08-08","Sweden","Norway",3,0,"Nordic Championship","Malmö","Sweden",false,"Sweden",0
"1971-08-25","Finland","Norway",1,1,"Nordic Championship","Helsinki","Finland",false,"draw",1
"1971-09-04","Austria","Sweden",1,0,"UEFA Euro qualification","Vienna","Austria",false,"Austria",0
"1971-09-08","Denmark","Finland",0,0,"Nordic Championship","Copenhagen","Denmark",false,"draw",1
"1971-09-08","Norway","France",1,3,"UEFA Euro qualification","Oslo","Norway",false,"France",0
"1971-09-22","Finland","Romania",0,4,"UEFA Euro qualification","Helsinki","Finland",false,"Romania",0
"1971-09-22","Poland","Turkey",5,1,"UEFA Euro qualification","Kraków","Poland",false,"Poland",0
"1971-09-25","Hungary","Bulgaria",2,0,"UEFA Euro qualification","Budapest","Hungary",false,"Hungary",0
"1971-09-26","Norway","Denmark",1,4,"Nordic Championship","Oslo","Norway",false,"Denmark",0
"1971-09-26","Switzerland","Turkey",4,0,"Friendly","Zürich","Switzerland",false,"Switzerland",0
"1971-10-09","France","Hungary",0,2,"UEFA Euro qualification","Colombes","France",false,"Hungary",0
"1971-10-09","Italy","Sweden",3,0,"UEFA Euro qualification","Milan","Italy",false,"Italy",0
"1971-10-10","Austria","Republic of Ireland",6,0,"UEFA Euro qualification","Linz","Austria",false,"Austria",0
"1971-10-13","Scotland","Portugal",2,1,"UEFA Euro qualification","Glasgow","Scotland",false,"Scotland",0
"1971-10-13","Switzerland","England",2,3,"UEFA Euro qualification","Basel","Switzerland",false,"England",0
"1971-10-13","Wales","Finland",3,0,"UEFA Euro qualification","Swansea","Wales",false,"Wales",0
"1971-10-27","Hungary","Norway",4,0,"UEFA Euro qualification","Budapest","Hungary",false,"Hungary",0
"1971-11-07","Belgium","Luxembourg",1,0,"Friendly","Verviers","Belgium",false,"Belgium",0
"1971-11-10","England","Switzerland",1,1,"UEFA Euro qualification","London","England",false,"draw",1
"1971-11-10","France","Bulgaria",2,1,"UEFA Euro qualification","Nantes","France",false,"France",0
"1971-11-10","Scotland","Belgium",1,0,"UEFA Euro qualification","Aberdeen","Scotland",false,"Scotland",0
"1971-11-14","Albania","Turkey",3,0,"UEFA Euro qualification","Tirana","Albania",false,"Albania",0
"1971-11-14","Malta","Hungary",0,2,"FIFA World Cup qualification","Gżira","Malta",false,"Hungary",0
"1971-11-17","Bulgaria","Greece",2,2,"Friendly","Sofia","Bulgaria",false,"draw",1
"1971-11-17","Netherlands","Luxembourg",8,0,"UEFA Euro qualification","Eindhoven","Netherlands",false,"Netherlands",0
"1971-11-20","Italy","Austria",2,2,"UEFA Euro qualification","Rome","Italy",false,"draw",1
"1971-11-21","Portugal","Belgium",1,1,"UEFA Euro qualification","Lisbon","Portugal",false,"draw",1
"1971-11-24","Romania","Wales",2,0,"UEFA Euro qualification","Bucharest","Romania",false,"Romania",0
"1971-11-24","Spain","Cyprus",7,0,"UEFA Euro qualification","Granada","Spain",false,"Spain",0
"1971-12-01","Greece","England",0,2,"UEFA Euro qualification","Piraeus","Greece",false,"England",0
"1971-12-01","Netherlands","Scotland",2,1,"Friendly","Amsterdam","Netherlands",false,"Netherlands",0
"1971-12-04","Bulgaria","France",2,1,"UEFA Euro qualification","Sofia","Bulgaria",false,"Bulgaria",0
"1971-12-05","Turkey","Poland",1,0,"UEFA Euro qualification","İzmir","Turkey",false,"Turkey",0
"1972-01-12","Spain","Hungary",1,0,"Friendly","Madrid","Spain",false,"Spain",0
"1972-02-16","Greece","Netherlands",0,5,"Friendly","Piraeus","Greece",false,"Netherlands",0
"1972-02-16","Northern Ireland","Spain",1,1,"UEFA Euro qualification","Kingston upon Hull","England",true,"draw",1
"1972-03-04","Greece","Italy",2,1,"Friendly","Piraeus","Greece",false,"Greece",0
"1972-03-29","Portugal","Cyprus",4,0,"FIFA World Cup qualification","Lisbon","Portugal",false,"Portugal",0
"1972-04-08","Romania","France",2,0,"Friendly","Bucharest","Romania",false,"Romania",0
"1972-04-12","Greece","Spain",0,0,"Friendly","Salonica","Greece",false,"draw",1
"1972-04-26","Switzerland","Sweden",1,1,"Friendly","Geneva","Switzerland",false,"draw",1
"1972-04-29","Hungary","Romania",1,1,"UEFA Euro qualification","Budapest","Hungary",false,"draw",1
"1972-04-29","Italy","Belgium",0,0,"UEFA Euro qualification","Milan","Italy",false,"draw",1
"1972-04-30","Austria","Malta",4,0,"FIFA World Cup qualification","Vienna","Austria",false,"Austria",0
"1972-05-06","Hungary","Malta",3,0,"FIFA World Cup qualification","Budapest","Hungary",false,"Hungary",0
"1972-05-10","Cyprus","Portugal",0,1,"FIFA World Cup qualification","Nicosia","Cyprus",false,"Portugal",0
"1972-05-10","Poland","Switzerland",0,0,"Friendly","Poznań","Poland",false,"draw",1
"1972-05-13","Belgium","Italy",2,1,"UEFA Euro qualification","Brussels","Belgium",false,"Belgium",0
"1972-05-14","Romania","Hungary",2,2,"UEFA Euro qualification","Bucharest","Romania",false,"draw",1
"1972-05-17","Hungary","Romania",2,1,"UEFA Euro qualification","Belgrade","Yugoslavia",true,"Hungary",0
"1972-05-18","Belgium","Iceland",4,0,"FIFA World Cup qualification","Liège","Belgium",false,"Belgium",0
"1972-05-20","Scotland","Northern Ireland",2,0,"British Home Championship","Glasgow","Scotland",false,"Scotland",0
"1972-05-20","Wales","England",0,3,"British Home Championship","Cardiff","Wales",false,"England",0
"1972-05-22","Belgium","Iceland",4,0,"FIFA World Cup qualification","Bruges","Belgium",false,"Belgium",0
"1972-05-23","England","Northern Ireland",0,1,"British Home Championship","London","England",false,"Northern Ireland",0
"1972-05-24","Scotland","Wales",1,0,"British Home Championship","Glasgow","Scotland",false,"Scotland",0
"1972-05-25","Sweden","Hungary",0,0,"FIFA World Cup qualification","Solna","Sweden",false,"draw",1
"1972-05-27","Scotland","England",0,1,"British Home Championship","Glasgow","Scotland",false,"England",0
"1972-05-27","Wales","Northern Ireland",0,0,"British Home Championship","Wrexham","Wales",false,"draw",1
"1972-05-28","Finland","Norway",0,0,"Nordic Championship","Turku","Finland",false,"draw",1
"1972-06-07","Denmark","Finland",3,0,"Nordic Championship","Copenhagen","Denmark",false,"Denmark",0
"1972-06-10","Austria","Sweden",2,0,"FIFA World Cup qualification","Vienna","Austria",false,"Austria",0
"1972-06-17","Belgium","Hungary",2,1,"UEFA Euro","Liège","Belgium",false,"Belgium",0
"1972-06-17","Romania","Italy",3,3,"Friendly","Bucharest","Romania",false,"draw",1
"1972-06-21","Bulgaria","Italy",1,1,"Friendly","Sofia","Bulgaria",false,"draw",1
"1972-06-21","Finland","Albania",1,0,"FIFA World Cup qualification","Helsinki","Finland",false,"Finland",0
"1972-06-25","Republic of Ireland","Portugal",1,2,"Brazil Independence Cup","Recife","Brazil",true,"Portugal",0
"1972-06-29","Sweden","Denmark",2,0,"Nordic Championship","Malmö","Sweden",false,"Sweden",0
"1972-07-03","Iceland","Denmark",2,5,"Friendly","Reykjavík","Iceland",false,"Denmark",0
"1972-07-12","Iceland","Faroe Islands",3,0,"Friendly","Reykjavík","Iceland",false,"Iceland",0
"1972-08-03","Norway","Iceland",4,1,"FIFA World Cup qualification","Stavanger","Norway",false,"Norway",0
"1972-09-02","Greece","France",1,3,"Friendly","Piraeus","Greece",false,"France",0
"1972-09-03","Romania","Austria",1,1,"Friendly","Craiova","Romania",false,"draw",1
"1972-09-17","Norway","Sweden",1,3,"Nordic Championship","Oslo","Norway",false,"Sweden",0
"1972-09-20","Finland","Romania",1,1,"FIFA World Cup qualification","Helsinki","Finland",false,"draw",1
"1972-10-04","Denmark","Switzerland",1,1,"Friendly","Copenhagen","Denmark",false,"draw",1
"1972-10-04","Norway","Belgium",0,2,"FIFA World Cup qualification","Oslo","Norway",false,"Belgium",0
"1972-10-07","Luxembourg","Italy",0,4,"FIFA World Cup qualification","Luxembourg","Luxembourg",false,"Italy",0
"1972-10-15","Austria","Hungary",2,2,"FIFA World Cup qualification","Vienna","Austria",false,"draw",1
"1972-10-15","Sweden","Malta",7,0,"FIFA World Cup qualification","Gothenburg","Sweden",false,"Sweden",0
"1972-10-18","Bulgaria","Northern Ireland",3,0,"FIFA World Cup qualification","Sofia","Bulgaria",false,"Bulgaria",0
"1972-10-18","Denmark","Scotland",1,4,"FIFA World Cup qualification","Copenhagen","Denmark",false,"Scotland",0
"1972-10-21","Switzerland","Italy",0,0,"FIFA World Cup qualification","Berne","Switzerland",false,"draw",1
"1972-10-22","Luxembourg","Turkey",2,0,"FIFA World Cup qualification","Luxembourg","Luxembourg",false,"Luxembourg",0
"1972-10-29","Romania","Albania",2,0,"FIFA World Cup qualification","Bucharest","Romania",false,"Romania",0
"1972-11-01","Netherlands","Norway",9,0,"FIFA World Cup qualification","Rotterdam","Netherlands",false,"Netherlands",0
"1972-11-15","Republic of Ireland","France",2,1,"FIFA World Cup qualification","Dublin","Republic of Ireland",false,"Republic of Ireland",0
"1972-11-15","Scotland","Denmark",2,0,"FIFA World Cup qualification","Glasgow","Scotland",false,"Scotland",0
"1972-11-15","Wales","England",0,1,"FIFA World Cup qualification","Cardiff","Wales",false,"England",0
"1972-11-19","Belgium","Netherlands",0,0,"FIFA World Cup qualification","Antwerp","Belgium",false,"draw",1
"1972-11-19","Cyprus","Bulgaria",0,4,"FIFA World Cup qualification","Akdoğan","Cyprus",false,"Bulgaria",0
"1972-11-25","Malta","Austria",0,2,"FIFA World Cup qualification","Gżira","Malta",false,"Austria",0
"1972-12-10","Turkey","Luxembourg",3,0,"FIFA World Cup qualification","Istanbul","Turkey",false,"Turkey",0
"1973-01-13","Italy","Turkey",0,0,"FIFA World Cup qualification","Naples","Italy",false,"draw",1
"1973-01-17","Greece","Spain",2,3,"FIFA World Cup qualification","Athens","Greece",false,"Spain",0
"1973-01-24","England","Wales",1,1,"FIFA World Cup qualification","London","England",false,"draw",1
"1973-01-28","Cyprus","Bulgaria",0,3,"Friendly","Akdoğan","Cyprus",false,"Bulgaria",0
"1973-01-31","Greece","Bulgaria",2,2,"Friendly","Athens","Greece",false,"draw",1
"1973-02-14","Cyprus","Northern Ireland",1,0,"FIFA World Cup qualification","Akdoğan","Cyprus",false,"Cyprus",0
"1973-02-14","Scotland","England",0,5,"Friendly","Glasgow","Scotland",false,"England",0
"1973-02-21","Spain","Greece",3,1,"FIFA World Cup qualification","Málaga","Spain",false,"Spain",0
"1973-02-25","Turkey","Italy",0,1,"FIFA World Cup qualification","Istanbul","Turkey",false,"Italy",0
"1973-03-03","France","Portugal",1,2,"Friendly","Paris","France",false,"Portugal",0
"1973-03-28","Austria","Netherlands",1,0,"Friendly","Vienna","Austria",false,"Austria",0
"1973-03-28","Northern Ireland","Portugal",1,1,"FIFA World Cup qualification","Coventry","England",true,"draw",1
"1973-03-28","Wales","Poland",2,0,"FIFA World Cup qualification","Cardiff","Wales",false,"Wales",0
"1973-03-31","Italy","Luxembourg",5,0,"FIFA World Cup qualification","Genoa","Italy",false,"Italy",0
"1973-04-08","Luxembourg","Switzerland",0,1,"FIFA World Cup qualification","Luxembourg","Luxembourg",false,"Switzerland",0
"1973-04-18","Turkey","Bulgaria",5,2,"Balkan Cup","İzmir","Turkey",false,"Turkey",0
"1973-04-26","Denmark","Sweden",1,2,"Friendly","Copenhagen","Denmark",false,"Sweden",0
"1973-04-29","Hungary","Austria",2,2,"FIFA World Cup qualification","Budapest","Hungary",false,"draw",1
"1973-05-02","Bulgaria","Portugal",2,1,"FIFA World Cup qualification","Sofia","Bulgaria",false,"Bulgaria",0
"1973-05-02","Netherlands","Spain",3,2,"Friendly","Amsterdam","Netherlands",false,"Netherlands",0
"1973-05-06","Albania","Romania",1,4,"FIFA World Cup qualification","Tirana","Albania",false,"Romania",0
"1973-05-08","Northern Ireland","Cyprus",3,0,"FIFA World Cup qualification","London","England",true,"Northern Ireland",0
"1973-05-09","Switzerland","Turkey",0,0,"FIFA World Cup qualification","Basel","Switzerland",false,"draw",1
"1973-05-12","England","Northern Ireland",2,1,"British Home Championship","Liverpool","England",false,"England",0
"1973-05-12","Wales","Scotland",0,2,"British Home Championship","Wrexham","Wales",false,"Scotland",0
"1973-05-15","England","Wales",3,0,"British Home Championship","London","England",false,"England",0
"1973-05-16","Poland","Republic of Ireland",2,0,"Friendly","Wrocław","Poland",false,"Poland",0
"1973-05-16","Scotland","Northern Ireland",1,2,"British Home Championship","Glasgow","Scotland",false,"Northern Ireland",0
"1973-05-19","England","Scotland",1,0,"British Home Championship","London","England",false,"England",0
"1973-05-19","France","Republic of Ireland",1,1,"FIFA World Cup qualification","Paris","France",false,"draw",1
"1973-05-19","Northern Ireland","Wales",1,0,"British Home Championship","Liverpool","England",true,"Northern Ireland",0
"1973-05-23","Sweden","Austria",3,2,"FIFA World Cup qualification","Gothenburg","Sweden",false,"Sweden",0
"1973-06-06","Norway","Republic of Ireland",1,1,"Friendly","Oslo","Norway",false,"draw",1
"1973-06-06","Poland","England",2,0,"FIFA World Cup qualification","Chorzów","Poland",false,"Poland",0
"1973-06-08","Faroe Islands","Iceland",0,4,"Friendly","Klaksvík","Faroe Islands",false,"Iceland",0
"1973-06-13","Hungary","Sweden",3,3,"FIFA World Cup qualification","Budapest","Hungary",false,"draw",1
"1973-06-14","Italy","England",2,0,"Friendly","Turin","Italy",false,"Italy",0
"1973-06-21","Denmark","Norway",1,0,"Nordic Championship","Copenhagen","Denmark",false,"Denmark",0
"1973-06-22","Switzerland","Scotland",1,0,"Friendly","Berne","Switzerland",false,"Switzerland",0
"1973-07-08","Sweden","Finland",1,1,"Nordic Championship","Halmstad","Sweden",false,"draw",1
"1973-07-11","Sweden","Iceland",1,0,"Friendly","Uddevalla","Sweden",false,"Sweden",0
"1973-08-02","Iceland","Norway",0,4,"FIFA World Cup qualification","Reykjavík","Iceland",false,"Norway",0
"1973-08-19","Bulgaria","Poland",0,2,"Friendly","Varna","Bulgaria",false,"Poland",0
"1973-08-22","Netherlands","Iceland",5,0,"FIFA World Cup qualification","Amsterdam","Netherlands",false,"Netherlands",0
"1973-08-29","Finland","Sweden",1,2,"Nordic Championship","Helsinki","Finland",false,"Sweden",0
"1973-08-29","Netherlands","Iceland",8,1,"FIFA World Cup qualification","Deventer","Netherlands",false,"Netherlands",0
"1973-09-08","France","Greece",3,1,"Friendly","Paris","France",false,"France",0
"1973-09-12","Norway","Netherlands",1,2,"FIFA World Cup qualification","Oslo","Norway",false,"Netherlands",0
"1973-09-23","Norway","Denmark",0,1,"Nordic Championship","Trondheim","Norway",false,"Denmark",0
"1973-09-26","England","Austria",7,0,"Friendly","London","England",false,"England",0
"1973-09-26","Northern Ireland","Bulgaria",0,0,"FIFA World Cup qualification","Sheffield","England",true,"draw",1
"1973-09-26","Poland","Wales",3,0,"FIFA World Cup qualification","Chorzów","Poland",false,"Poland",0
"1973-09-26","Switzerland","Luxembourg",1,0,"FIFA World Cup qualification","Lucerne","Switzerland",false,"Switzerland",0
"1973-09-29","Italy","Sweden",2,0,"Friendly","Milan","Italy",false,"Italy",0
"1973-10-10","Albania","Finland",1,0,"FIFA World Cup qualification","Tirana","Albania",false,"Albania",0
"1973-10-10","Netherlands","Poland",1,1,"Friendly","Rotterdam","Netherlands",false,"draw",1
"1973-10-13","Denmark","Hungary",2,2,"Friendly","Copenhagen","Denmark",false,"draw",1
"1973-10-13","Portugal","Bulgaria",2,2,"FIFA World Cup qualification","Lisbon","Portugal",false,"draw",1
"1973-10-14","Romania","Finland",9,0,"FIFA World Cup qualification","Bucharest","Romania",false,"Romania",0
"1973-10-17","England","Poland",1,1,"FIFA World Cup qualification","London","England",false,"draw",1
"1973-10-17","Turkey","Spain",0,0,"Friendly","Istanbul","Turkey",false,"draw",1
"1973-10-20","Italy","Switzerland",2,0,"FIFA World Cup qualification","Rome","Italy",false,"Italy",0
"1973-10-21","Republic of Ireland","Poland",1,0,"Friendly","Dublin","Republic of Ireland",false,"Republic of Ireland",0
"1973-10-31","Belgium","Norway",2,0,"FIFA World Cup qualification","Brussels","Belgium",false,"Belgium",0
"1973-11-11","Malta","Sweden",1,2,"FIFA World Cup qualification","Gżira","Malta",false,"Sweden",0
"1973-11-14","England","Italy",0,1,"Friendly","London","England",false,"Italy",0
"1973-11-14","Portugal","Northern Ireland",1,1,"FIFA World Cup qualification","Lisbon","Portugal",false,"draw",1
"1973-11-18","Bulgaria","Cyprus",2,0,"FIFA World Cup qualification","Sofia","Bulgaria",false,"Bulgaria",0
"1973-11-18","Netherlands","Belgium",0,0,"FIFA World Cup qualification","Amsterdam","Netherlands",false,"draw",1
"1973-11-18","Turkey","Switzerland",2,0,"FIFA World Cup qualification","İzmir","Turkey",false,"Turkey",0
"1973-11-21","France","Denmark",3,0,"Friendly","Paris","France",false,"France",0
"1973-11-27","Austria","Sweden",1,2,"FIFA World Cup qualification","Gelsenkirchen","Germany",true,"Sweden",0
"1974-02-06","Cyprus","Bulgaria",1,4,"Friendly","Morphou","Cyprus",false,"Bulgaria",0
"1974-03-23","France","Romania",1,0,"Friendly","Paris","France",false,"France",0
"1974-03-27","Netherlands","Austria",1,1,"Friendly","Rotterdam","Netherlands",false,"draw",1
"1974-03-31","Hungary","Bulgaria",3,1,"Friendly","Zalaegerszeg","Hungary",false,"Hungary",0
"1974-04-03","Portugal","England",0,0,"Friendly","Lisbon","Portugal",false,"draw",1
"1974-04-17","Belgium","Poland",1,1,"Friendly","Liège","Belgium",false,"draw",1
"1974-05-01","Switzerland","Belgium",0,1,"Friendly","Geneva","Switzerland",false,"Belgium",0
"1974-05-08","Bulgaria","Turkey",5,1,"Balkan Cup","Sofia","Bulgaria",false,"Bulgaria",0
"1974-05-11","Scotland","Northern Ireland",0,1,"British Home Championship","Glasgow","Scotland",false,"Northern Ireland",0
"1974-05-11","Wales","England",0,2,"British Home Championship","Cardiff","Wales",false,"England",0
"1974-05-14","Scotland","Wales",2,0,"British Home Championship","Glasgow","Scotland",false,"Scotland",0
"1974-05-15","England","Northern Ireland",1,0,"British Home Championship","London","England",false,"England",0
"1974-05-15","Poland","Greece",2,0,"Friendly","Warsaw","Poland",false,"Poland",0
